Date, Open, High, Low, Close, Volume, Adj Close
25,2288.879883,2299.550049,2288.879883,2298.370117,3846020000,2298.370117
24,2267.879883,2284.629883,2266.679932,2280.070068,3810960000,2280.070068
23,2267.780029,2271.780029,2257.02002,2265.199951,3152710000,2265.199951
20,2269.959961,2276.959961,2265.01001,2271.310059,3524970000,2271.310059
19,2271.899902,2274.330078,2258.409912,2263.689941,3165970000,2263.689941
18,2269.139893,2272.01001,2263.350098,2271.889893,3315250000,2271.889893
17,2269.139893,2272.080078,2262.810059,2267.889893,3584990000,2267.889893
13,2272.73999,2278.679932,2271.51001,2274.639893,3081270000,2274.639893
12,2271.139893,2271.780029,2254.25,2270.439941,3462130000,2270.439941
11,2268.600098,2275.320068,2260.830078,2275.320068,3620410000,2275.320068
10,2269.719971,2279.27002,2265.27002,2268.899902,3638790000,2268.899902
9,2273.590088,2275.48999,2268.899902,2268.899902,3217610000,2268.899902
6,2271.139893,2282.100098,2264.060059,2276.97998,3339890000,2276.97998
